Sample,US to DS (1 = furthest us),group,Distance,Sample_info,Sample,Site Location,Long,Lat,Density of quagga found at site,Cq_value_1,Cq_value_2,Cq_value_3,Avg. Cq values,copies/rxn,CopiesULsample,copies for 10ul of sample
209,4,1,1100,Wraysbury Bridge,6a,TQ 02679 73200,51.448488,-0.52380946,4,18.684885,18.604284,18.806572,18.69858,2270466.293,1135233.146,8998589.202
210,4,1,1100,Wraysbury Bridge,6b,TQ 02679 73200,51.448488,-0.52380946,4,18.960754,18.98328,19.26399,19.069342,1763717.109,881858.5544,7491855.569
211,4,1,1100,Wraysbury Bridge,6c,TQ 02679 73200,51.448488,-0.52380946,4,19.03069,19.084663,19.052914,19.05609,1779710.636,889855.318,11069010.96
167,5,2,1700,Moor Lane,1a,TQ 02802 72634,51.443378,-0.52220432,N/A,15.485951,15.634015,15.463476,15.527814,636421.7763,318210.8882,3182108.882
168,5,2,1700,Moor Lane,1b,TQ 02802 72634,51.443378,-0.52220432,N/A,16.57432,16.714487,16.694775,16.661194,271894.4236,135947.2118,1359472.118
169,5,2,1700,Moor Lane,1c,TQ 02802 72634,51.443378,-0.52220432,N/A,16.297075,16.432905,16.722704,16.484228,310505.8609,155252.9305,1552529.305
176,6,1,2700,Wraysbury Gardens,1a,TQ 03338 71899,51.436674,-0.51470907,1,23.17499,23.053753,23.091858,23.106867,25155.30996,12577.65498,125776.5498
177,6,1,2700,Wraysbury Gardens,1b,TQ 03338 71899,51.436674,-0.51470907,1,25.603254,25.586178,25.508722,25.566053,12328.46701,6164.233507,92704.36821
178,6,1,2700,Wraysbury Gardens,1c,TQ 03338 71899,51.436674,-0.51470907,1,25.541922,25.753643,25.529333,25.6083,12007.74577,6003.872886,90279.485
179,6,1,2700,Wraysbury Gardens,2a,TQ 03338 71899,51.436674,-0.51470907,1,23.454144,23.5211,23.655254,23.543497,18540.87364,9270.436821,92274.66919
180,6,1,2700,Wraysbury Gardens,2b,TQ 03338 71899,51.436674,-0.51470907,1,25.3389,25.355722,25.352415,25.349012,14116.28065,7058.140325,98614.04084
181,6,1,2700,Wraysbury Gardens,2c,TQ 03338 71899,51.436674,-0.51470907,1,25.00465,24.990175,24.981186,24.992004,17638.35565,8819.177824,209373.7976
182,6,1,2700,Wraysbury Gardens,3a,TQ 03338 71899,51.436674,-0.51470907,1,23.62045,23.702349,23.421495,23.58143,18055.897,9027.9485,51188.46992
183,6,1,2700,Wraysbury Gardens,3b,TQ 03338 71899,51.436674,-0.51470907,1,25.137959,25.236628,25.120415,25.164999,15833.68328,7916.841638,2060365.969
184,6,1,2700,Wraysbury Gardens,3c,TQ 03338 71899,51.436674,-0.51470907,1,26.17488,26.11237,26.142145,26.143133,8600.798146,4300.399073,4558462.564
185,6,1,2700,Wraysbury Gardens,4a,TQ 03338 71899,51.436674,-0.51470907,1,25.787127,25.825666,25.800346,25.80438,10625.02699,5312.513496,12227098.21
186,6,1,2700,Wraysbury Gardens,4b,TQ 03338 71899,51.436674,-0.51470907,1,26.569513,25.822899,26.104525,26.165644,8480.842353,4240.421176,17332092.49
187,6,1,2700,Wraysbury Gardens,4c,TQ 03338 71899,51.436674,-0.51470907,1,25.270857,25.328453,25.261248,25.286852,14674.51197,7337.255983,15087565.27
188,6,1,2700,Wraysbury Gardens,5a,TQ 03338 71899,51.436674,-0.51470907,1,23.567951,23.34643,23.736052,23.550146,18454.93384,9227.466919,11951391.85
189,6,1,2700,Wraysbury Gardens,5b,TQ 03338 71899,51.436674,-0.51470907,1,27.967972,27.964767,27.854055,27.928932,2822.56554,1411.28277,8273691.157
190,6,1,2700,Wraysbury Gardens,5c,TQ 03338 71899,51.436674,-0.51470907,1,26.401138,26.358042,26.51369,26.424292,7216.948568,3608.474284,61642.33507
191,6,1,2700,Wraysbury Gardens,6a,TQ 03338 71899,51.436674,-0.51470907,1,23.450972,23.427652,23.48654,23.455055,19722.80817,9861.404084,60038.72886
192,6,1,2700,Wraysbury Gardens,6b,TQ 03338 71899,51.436674,-0.51470907,1,25.971344,26.057806,25.989033,26.00606,9368.739808,4684.369904,70581.40325
193,6,1,2700,Wraysbury Gardens,6c,TQ 03338 71899,51.436674,-0.51470907,1,25.456089,25.758083,25.604721,25.606298,12022.75405,6011.377024,88191.77824
164,7,2,2720,Hale Street,1a,TQ 03331 71745,51.435291,-0.51485463,N/A,22.296135,22.298534,22.28636,22.293676,3970.934734,1985.467367,19854.67367
165,7,2,2720,Hale Street,1b,TQ 03331 71745,51.435291,-0.51485463,N/A,22.600348,22.470701,22.658062,22.57637,3211.949538,1605.974769,16059.74769
166,7,2,2720,Hale Street,1c,TQ 03331 71745,51.435291,-0.51485463,N/A,22.27461,22.330965,22.47581,22.36046,3776.845736,1888.422868,18884.22868
161,8,2,2750,US Thames confluence,1a,TQ 03346 71701,51.434893,-0.51465174,N/A,22.79217,22.85702,22.64653,22.765238,2787.536741,1393.768371,13937.68371
162,8,2,2750,US Thames confluence,1b,TQ 03346 71701,51.434893,-0.51465174,N/A,22.532663,22.783176,22.631517,22.649118,3041.316855,1520.658427,15206.58427
163,8,2,2750,US Thames confluence,1c,TQ 03346 71701,51.434893,-0.51465174,N/A,22.280607,21.892029,22.320972,22.164536,4374.986951,2187.493475,21874.93475
